BANK_GROUP,RAW_ACCOUNT_ALIASES,NORMALIZED_ACCOUNT,CURRENCY,ENTITY,ENTITY_CODE,ENTITY_NAME,REGION,NOTE
CITI,553241006,553241006,THB,GN TH,1249,GREENNODE CO. LTD.,TH,Confirmed Citi Thailand THB account
CITI,553241103,553241103,USD,GN TH,1249,GREENNODE CO. LTD.,TH,Confirmed Citi Thailand USD account
CITI,863645018|0863645018,0863645018,USD,VNGSING,298,VNG SINGAPORE PTE LTD,SG,Leading zero restored from ERP LIST
CITI,863645026|0863645026,0863645026,SGD,VNGSING,298,VNG SINGAPORE PTE LTD,SG,Leading zero restored from ERP LIST
CITI,863645034|0863645034,0863645034,SGD,VNGSING,298,VNG SINGAPORE PTE LTD - HR,SG,From dashboard account master
CITI,863645042|0863645042,0863645042,USD,VNGSING,298,VNG SINGAPORE PTE LTD - ESOP,SG,From dashboard account master
CITI,139143019|0139143019,0139143019,USD,VNGGAMES Sing,1491,VNGGAMES PTE LTD,SG,From dashboard account master
CITI,139143027|0139143027,0139143027,USD,VNGGAMES Sing,1491,VNGGAMES PTE LTD,SG,From dashboard account master
CITI,139143035|0139143035,0139143035,SGD,VNGGAMES Sing,1491,VNGGAMES PTE LTD,SG,From dashboard account master
CITI,1051008|0001051008,0001051008,USD,ZPI,598,ZINGPLAY INTERNATIONAL PTE LTD,SG,From dashboard account master
CITI,1051016|0001051016,0001051016,SGD,ZPI,598,ZINGPLAY INTERNATIONAL PTE LTD,SG,From dashboard account master
CITI,1051024|0001051024,0001051024,SGD,ZPI,598,ZINGPLAY INTERNATIONAL PTE LTD - HR,SG,From dashboard account master
CITI,108006|0000108006,0000108006,THB,GAMECO,738,VNG GAMES CO. LTD.,TH,From dashboard account master
CITI,5000108008,5000108008,USD,GAMECO,738,VNG GAMES CO. LTD.,TH,From dashboard account master
CITI,1817086221,1817086221,CNY,KMZ,984,KMZ INTERACTIVE ENTERTAINMENT,CN,From dashboard account master
CITI,1817465249,1817465249,CNY,KMZ,984,KMZ INTERACTIVE ENTERTAINMENT,CN,From dashboard account master
CITI,1817459249,1817459249,CNY,KMZ,984,KMZ INTERACTIVE ENTERTAINMENT,CN,From dashboard account master
CITI,1817086922,1817086922,USD,KMZ,984,KMZ INTERACTIVE ENTERTAINMENT,CN,From dashboard account master
CITI,68495008|068495008,068495008,SGD,VNG I,940,VNG INVESTMENT PTE LTD,SG,From dashboard account master
CITI,68495016|068495016,068495016,USD,VNG I,940,VNG INVESTMENT PTE LTD,SG,From dashboard account master
DB,2050284000,2050284000,SGD,GREENNODE SG,60,GREENNODE SG,SG,Observed in uploaded summary.xlsx
DB,2050284050,2050284050,USD,GREENNODE SG,60,GREENNODE SG,SG,Observed in uploaded summary.xlsx
DB,2050342000,2050342000,SGD,VNGSING,298,VNG SINGAPORE PTE LTD,SG,Confirmed from real DB_Jul26_SG.pdf statement (Company VNGSGPTE)
DB,2050342050,2050342050,USD,VNGSING,298,VNG SINGAPORE PTE LTD,SG,Confirmed from real DB_Jul26_SG.pdf statement (Company VNGSGPTE)
DB,2050342051,2050342051,USD,VNGSING,298,VNG SINGAPORE PTE LTD,SG,Confirmed from real DB_Jul26_SG.pdf statement (Company VNGSGPTE)
DB,1025899006,1025899006,USD,VNGSING,298,VNG SINGAPORE PTE LTD - HCMC,VN,Confirmed from real DB_Jul26_VN.pdf statement (Company VNGSGPTE, Deutsche Bank Ho Chi Minh Branch)
DB,1025899056,1025899056,VND,VNGSING,298,VNG SINGAPORE PTE LTD - HCMC,VN,Confirmed from real DB_Jul26_VN.pdf statement (Company VNGSGPTE, Deutsche Bank Ho Chi Minh Branch)
DB,39198000|0039198000,0039198000,THB,GN TH,1249,GREENNODE CO. LTD.,TH,From dashboard account master
DB,39198050|0039198050,0039198050,USD,GN TH,1249,GREENNODE CO. LTD.,TH,From dashboard account master
HSBC,047023296001,047023296001,SGD,VNGSING,298,VNG SING,SG,Observed in uploaded summary.xlsx
HSBC,147127435001,147127435001,SGD,GREENNODE SG,60,GREENNODE SG,SG,Observed in uploaded summary.xlsx
HSBC,260503123178,260503123178,USD,VNGSING,298,VNG SING,SG,Observed in uploaded summary.xlsx
HSBC,260875968178,260875968178,USD,GREENNODE SG,60,GREENNODE SG,SG,Observed in uploaded summary.xlsx
HSBC,142660323001,142660323001,SGD,VNG I,940,VNG INVESTMENT PTE LTD,SG,From dashboard account master
HSBC,260521117178,260521117178,USD,VNG I,940,VNG INVESTMENT PTE LTD,SG,From dashboard account master
SC,0102781397,0102781397,SGD,VNGSING,298,VNG SING,SG,Observed in uploaded summary.xlsx
SC,0170725839,0170725839,USD,VNGSING,298,VNG SING,SG,Observed in uploaded summary.xlsx
BANGKOK,0083054494,0083054494,THB,GN TH,1249,GREENNODE CO. LTD.,TH,From dashboard account master
BANGKOK,0087586210,0087586210,THB,GN TH,1249,GREENNODE CO. LTD.,TH,From dashboard account master
CITI,759416023|0759416023,759416023,USD,ZPI,598,ZINGPLAY INTERNATIONAL PTE LIMITED,SG,Discovered in Jul 2026 Citi statement
CITI,759416058|0759416058,759416058,PHP,ZPI,598,ZINGPLAY INTERNATIONAL PTE LIMITED,SG,Discovered in Jul 2026 Citi statement
